,Name,Province,Climate ID,Station ID,WMO ID,TC ID,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Latitude,Longitude,Elevation (m),First Year,Last Year,HLY First Year,HLY Last Year,DLY First Year,DLY Last Year,MLY First Year,MLY Last Year
6831,ST LIN DES LAURENTIDES,QUEBEC,7017480,5279,,,45.85,-73.75,455100000.0,-734500000.0,64.0,1913,1981,,,1913.0,1981.0,1913.0,1981.0
6832,ST MATHIEU,QUEBEC,7017555,5280,,,46.58,-72.93,463500000.0,-725600000.0,167.6,1978,1994,,,1978.0,1994.0,1978.0,1994.0
6833,ST NARCISSE,QUEBEC,7017585,5281,,,46.53,-72.43,463200000.0,-722600000.0,46.0,1973,2022,,,1973.0,2022.0,1973.0,2018.0
6834,ST PAULIN,QUEBEC,7017640,5282,,,46.42,-73.02,462500000.0,-730100000.0,167.0,1950,1991,,,1950.0,1991.0,1951.0,1991.0
6835,ST PLACIDE,QUEBEC,7017657,5283,,,45.55,-74.2,453300000.0,-741200000.0,40.0,1973,1994,,,1973.0,1994.0,1973.0,1994.0
6836,STE THERESE SEMINAIRE,QUEBEC,7017753,5284,,,45.63,-73.85,453800000.0,-735100000.0,45.7,1960,1961,,,1960.0,1961.0,1961.0,1961.0
6837,STE THERESE OUEST,QUEBEC,7017755,5285,,,45.65,-73.88,453900000.0,-735300000.0,61.0,1961,2010,,,1961.0,2010.0,1961.0,2010.0
6838,ST THOMAS DE CAXTON,QUEBEC,7017757,5286,,,46.37,-72.8,462200000.0,-724800000.0,53.0,1980,1991,,,1980.0,1991.0,1981.0,1991.0
6839,ST TITE,QUEBEC,7017760,5287,,,46.73,-72.57,464400000.0,-723400000.0,141.7,1920,1985,,,1920.0,1985.0,1920.0,1985.0
6840,ST UBALD,QUEBEC,7017767,5288,,,46.68,-72.32,464100000.0,-721900000.0,,1963,1964,,,1963.0,1964.0,1963.0,1964.0
6841,ST ZENON,QUEBEC,7017786,5289,,,46.62,-73.87,463700000.0,-735200000.0,442.0,1973,1994,,,1973.0,1994.0,1973.0,1994.0
6842,STE FOY MATAPEDIA,QUEBEC,7017B65,5265,,,46.75,-71.28,464500000.0,-711700000.0,45.7,1971,1984,,,1971.0,1984.0,1971.0,1984.0
6843,STE FOY (PIE XII),QUEBEC,7017BFN,5264,,,46.78,-71.32,464700000.0,-711900000.0,79.2,1972,1996,,,1972.0,1996.0,1972.0,1996.0
6844,SHAWINIGAN,QUEBEC,7018000,5290,,,46.57,-72.75,463400000.0,-724500000.0,121.9,1902,2004,,,1902.0,2004.0,1902.0,2004.0
6845,SHAWINIGAN,QUEBEC,7018001,27646,71370.0,XSH,46.56,-72.73,463348000.0,-724400000.0,110.0,1998,2022,1999.0,2022.0,1998.0,2022.0,,
6846,TERREBONNE HEIGHTS,QUEBEC,7018410,5291,,,45.75,-73.63,454500000.0,-733800000.0,53.3,1961,1963,,,1961.0,1963.0,1962.0,1963.0
6847,TROIS RIVIERES A-2,QUEBEC,7018560,52138,,,46.35,-72.67,462100000.0,-724000000.0,,2014,2022,,,2014.0,2022.0,,
6848,TROIS RIVIERES A,QUEBEC,7018561,51698,,YRQ,46.35,-72.68,462106000.0,-724050000.0,60.7,2013,2022,2013.0,2022.0,2018.0,2022.0,,
6849,TROIS-RIVIERES,QUEBEC,7018562,10764,71724.0,WTY,46.35,-72.52,462113000.0,-723058000.0,6.0,1993,2022,1994.0,2022.0,1993.0,2022.0,2005.0,2005.0
6850,TROIS-RIVIERES,QUEBEC,7018563,8321,71729.0,GRQ,46.37,-72.68,462200000.0,-724100000.0,62.2,1963,2022,1963.0,2022.0,2004.0,2022.0,,
6851,TROIS RIVIERES,QUEBEC,7018564,5292,,,46.37,-72.6,462200000.0,-723600000.0,53.3,1934,1986,,,1934.0,1986.0,1934.0,1986.0
6852,VALCARTIER,QUEBEC,7018572,10965,,WQG,46.9,-71.5,465400000.0,-713000000.0,167.9,1994,2008,1994.0,1999.0,1994.0,2008.0,,
6853,VALCARTIER A,QUEBEC,7018573,29452,71716.0,YOY,46.9,-71.5,465410000.0,-713013000.0,167.6,2000,2022,2000.0,2022.0,2013.0,2022.0,,
